Date,Carrier,FlightNumber,DepAirport,DepCity,DepState,ArrAirport,ArrCity,ArrState,DepTime,DepDelay,ArrTIme,ArrDelay,Cancelled,CancelReason,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,ArrStatus,DepStatus,DelayCause
Dec,Endeavor,5300,DSM,"Des Moines, IA",IA,LGA,"New York, NY",NY,1452,24,1828,15,0,NA,0,15,0,0,0,Late,Late,Weather
Dec,Endeavor,5302,MSP,"Minneapolis, MN",MN,DFW,"Dallas/Fort Worth, TX",TX,0706,-4,1006,-8,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,Endeavor,5313,DTW,"Detroit, MI",MI,IAH,"Houston, TX",TX,1751,-5,1950,-40,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,Endeavor,5332,DTW,"Detroit, MI",MI,TYS,"Knoxville, TN",TN,1740,-4,1929,-1,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,Endeavor,5338,DSM,"Des Moines, IA",IA,MSP,"Minneapolis, MN",MN,0752,-4,0908,-17,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,Endeavor,5347,MSP,"Minneapolis, MN",MN,DSM,"Des Moines, IA",IA,1338,-3,1440,-25,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,American,2397,ORD,"Chicago, IL",IL,MSP,"Minneapolis, MN",MN,0833,-7,1011,-1,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,American,1854,ORD,"Chicago, IL",IL,PHL,"Philadelphia, PA",PA,0702,2,1008,9,0,NA,NA,NA,NA,NA,NA,Late,Late,NA
Dec,American,2679,ORD,"Chicago, IL",IL,DCA,"Washington, DC",VA,1556,45,1914,74,0,NA,45,0,29,0,0,Late,Late,Carrier
Dec,American,2796,ORD,"Chicago, IL",IL,MIA,"Miami, FL",FL,1329,-3,1756,16,0,NA,0,0,16,0,0,Late,On Time,NA
Dec,American,2820,ORD,"Chicago, IL",IL,BDL,"Hartford, CT",CT,0907,20,1209,23,0,NA,20,0,3,0,0,Late,Late,Carrier
Dec,American,750,MSP,"Minneapolis, MN",MN,CLT,"Charlotte, NC",NC,0620,-2,1029,19,0,NA,0,0,19,0,0,Late,On Time,NA
